Case,Cone Angle,Omega,Pitch Angle,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
0_240_-5,0,240,-5,0.000384794,0.016903723,0.156995088,-0.001026796,0.013124089,-0.001352069
0_360_-5,0,360,-5,0.010682812,0.079683771,0.949619163,-0.007785087,0.066550802,-0.005648653
0_480_-5,0,480,-5,0.049120901,0.304395004,4.413292722,-0.041146785,0.305317262,-0.022042129
5_240_-5,5,240,-5,0.014478096,0.020828954,0.161711606,-0.00127364,0.01362959,-0.001637958
0_240_-10,0,240,-10,-4.67E-05,0.027217871,0.140729666,-0.000834058,0.011616268,-0.002231949
5_360_-5,5,360,-5,0.085895091,0.094693468,0.848866627,-0.007825617,0.058773463,-0.005901154
0_360_-10,0,360,-10,0.010975817,0.163816163,0.943788497,-0.007191119,0.065085718,-0.011269848
5_480_-5,5,480,-5,0.497192252,0.446357919,4.682050588,-0.050279236,0.310871814,-0.025421225
0_480_-10,0,480,-10,0.051931226,0.684096564,4.269967196,-0.036254841,0.292490068,-0.046751549
10_240_-5,10,240,-5,0.029399343,0.021387944,0.164168404,-0.001520661,0.01373618,-0.001520696
5_240_-10,5,240,-10,0.012899993,0.030827539,0.144859533,-0.001126501,0.012067741,-0.002492552
10_360_-5,10,360,-5,0.17086018,0.096973917,0.880537745,-0.009025283,0.059188212,-0.005143601
5_360_-10,5,360,-10,0.085094371,0.168155275,0.841531078,-0.007717894,0.057672638,-0.01094088
10_480_-5,10,480,-5,0.819414854,0.396097062,4.056378368,-0.04520599,0.259474967,-0.016845297
5_480_-10,5,480,-10,0.414606243,0.741017688,3.87745011,-0.038675616,0.252653367,-0.043678741
0_240_-20,0,240,-20,-0.00044499,0.037679011,0.101215958,-0.000444677,0.007685064,-0.002944841
10_240_-10,10,240,-10,0.026107013,0.031565964,0.146449917,-0.001437286,0.01217467,-0.002396559
0_360_-20,0,360,-20,0.013626104,0.349842132,0.973377365,-0.006310177,0.064153452,-0.02268675
10_360_-10,10,360,-10,0.145880058,0.155454675,0.76013888,-0.007955508,0.05162399,-0.009317264
0_480_-20,0,480,-20,0.065879609,1.562031206,4.44726496,-0.032693326,0.29689856,-0.103070476
10_480_-10,10,480,-10,0.771627279,0.722710032,3.693399004,-0.040123462,0.225822879,-0.034369774
5_240_-20,5,240,-20,0.008538928,0.040959694,0.104529159,-0.00077403,0.008070336,-0.003214833
5_360_-20,5,360,-20,0.066108991,0.266819242,0.675929968,-0.005878872,0.04565546,-0.017510695
5_480_-20,5,480,-20,0.405614704,1.455954216,3.773062238,-0.03716852,0.248277327,-0.089814955
10_240_-20,10,240,-20,0.018090124,0.041789995,0.106017666,-0.001140277,0.008205731,-0.003143484
10_360_-20,10,360,-20,0.119046402,0.251370607,0.628207892,-0.007007896,0.041735213,-0.015479279
10_480_-20,10,480,-20,0.726088266,1.423534466,3.56545248,-0.040881548,0.221884099,-0.077247432
0_120_-10,0,120,-10,0.000868925,0.014189006,0.076501329,-0.000660666,0.005416811,-0.00100079
0_60_-10,0,60,-10,0.000624724,0.009650981,0.054936037,-0.000570111,0.003618468,-0.000638899
0_120_-5,0,120,-5,0.000874053,0.007896005,0.080588492,-0.000735565,0.005789021,-0.000567637
0_60_-5,0,60,-5,0.000600912,0.004840045,0.056289182,-0.000615489,0.003737231,-0.000328443
0_120_0,0,120,0,0.000948125,0.000962813,0.083727528,-0.000822596,0.00611702,-8.79E-05
0_60_0,0,60,0,0.000567117,-0.000132182,0.056875918,-0.000664111,0.003828918,-6.45E-06
5_60_0,5,60,0,0.005789437,3.15E-05,0.057712022,-0.000681856,0.003732345,4.80E-05
5_60_-5,5,60,-5,0.005800532,0.005153826,0.05712019,-0.000665849,0.003645963,-0.000275832
5_60_-10,5,60,-10,0.005769346,0.010122895,0.055855797,-0.00064651,0.003519605,-0.000580562
5_120_0,5,120,0,0.008564176,0.001239042,0.085972146,-0.000873051,0.006105711,-2.05E-05
5_120_-5,5,120,-5,0.00827777,0.008468245,0.082669787,-0.000836173,0.005781552,-0.000522136
5_120_-10,5,120,-10,0.007938252,0.01492222,0.078522028,-0.000790443,0.00539664,-0.000952343
10_60_0,10,60,0,0.01119168,2.03E-06,0.058110845,-0.000691387,0.003639484,0.00010601
10_60_-5,10,60,-5,0.011312601,0.005241764,0.05785994,-0.000707955,0.00354086,-0.00020947
10_60_-10,10,60,-10,0.011348221,0.010507009,0.056934367,-0.000714208,0.003404571,-0.00049914
10_120_-5,10,120,-5,0.01625098,0.008682832,0.084203429,-0.000921827,0.005722058,-0.000452494
10_120_0,10,120,0,0.016759139,0.001219249,0.087397628,-0.00091568,0.006067562,4.33E-05
10_120_-10,10,120,-10,0.015539992,0.015400573,0.08002002,-0.000908425,0.005322788,-0.000871384
0_240_5,0,240,5,0.000396864,-0.009439944,0.182901557,-0.001444026,0.015645411,0.000892302
10_240_5,10,240,5,0.033827122,-0.007510365,0.19057666,-0.001561306,0.016067542,0.000977576
20_240_5,20,240,5,0.067567599,-0.007929435,0.18444288,-0.001558355,0.015950659,0.001245803
0_240_0,0,240,0,0.000506275,0.005392674,0.172053917,-0.001259491,0.014624908,-0.000390517
0_240_10,0,240,10,0.000405387,-0.027406453,0.192689118,-0.001694517,0.016394692,0.002492433
0_360_10,0,360,10,0.013958942,-0.204588572,1.096661909,-0.012176863,0.077972912,0.014385676
10_360_5,10,360,5,0.176444014,-0.066563604,0.915239047,-0.00889338,0.063702755,0.005893154
20_360_5,20,360,5,0.357796716,-0.075819994,0.917903318,-0.009029415,0.061844644,0.007027558
0_360_0,0,360,0,0.01764665,-0.006272238,1.125800183,-0.010515791,0.078551323,-3.64E-05
0_360_5,0,360,5,0.012796537,-0.10121285,1.08469056,-0.010944249,0.076506003,0.00691508
0_480_10,0,480,10,0.043195184,-0.902120014,4.259019502,-0.052330542,0.29913969,0.061032102
10_480_5,10,480,5,0.953028073,-0.463813398,4.813563356,-0.054496404,0.314547945,0.036541321
20_480_5,20,480,5,1.669531572,-0.491617939,4.141174416,-0.04479206,0.240528283,0.034822569
0_480_0,0,480,0,0.069984852,-0.082063861,4.413894064,-0.045848537,0.305873933,0.003532365
0_480_5,0,480,5,0.05161478,-0.583844256,5.061140056,-0.05694214,0.351615606,0.037250897
10_240_10,10,240,10,0.035303147,-0.025516901,0.199991926,-0.001529513,0.016997663,0.002535764
10_240_0,10,240,0,0.031927801,0.008288429,0.178835295,-0.001552964,0.01503946,-0.000412108
10_360_10,10,360,10,0.215846266,-0.196278438,1.10555966,-0.010944152,0.075035343,0.014654607
10_360_0,10,360,0,0.2445427,0.006883932,1.232634432,-0.012716278,0.079792064,0.001302419
10_480_10,10,480,10,0.835538713,-0.860093653,4.264966448,-0.046618107,0.279063327,0.062203638
20_240_0,20,240,0,0.064619947,0.008243216,0.174816514,-0.001785343,0.014864062,-9.17E-05
20_360_0,20,360,0,0.367385402,0.007954441,0.929836671,-0.010137066,0.060226039,0.001889249
20_480_0,20,480,0,1.548461454,-0.058715714,3.837064042,-0.043353701,0.229941918,0.013936377
20_360_10,20,360,10,0.422899062,-0.205228514,1.088482841,-0.009422965,0.072268508,0.01540317
20_480_10,20,480,10,1.547823522,-0.832873432,3.938863344,-0.038293234,0.244896611,0.058612211
20_240_10,20,240,10,0.070559027,-0.026198459,0.193596011,-0.001254973,0.016909873,0.00276497
10_480_0,10,480,0,0.869862907,-0.028595678,4.378402442,-0.049010905,0.288469502,0.00798736
